unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
10936944,JA253730,2017-05-07 00:01:00 UTC,113XX S AVENUE H,1360,CRIMINAL TRESPASS,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,433,4,10,52,26,1202882.0,1830391.0,2017,2018-02-10 15:50:01 UTC,41.689306695,-87.532870501,"(41.689306695, -87.532870501)"
10926575,JA240966,2017-04-27 08:05:00 UTC,051XX N CHRISTIANA AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,false,false,1713,17,39,13,26,1153115.0,1934060.0,2017,2018-02-10 15:50:01 UTC,41.974912291,-87.712323606,"(41.974912291, -87.712323606)"
10919531,JA233017,2017-04-21 02:45:00 UTC,047XX S KOLIN AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,true,815,8,23,57,26,1148159.0,1872824.0,2017,2018-02-10 15:50:01 UTC,41.806971183,-87.732126362,"(41.806971183, -87.732126362)"
10913742,JA227116,2017-04-15 21:00:00 UTC,056XX N KNOX AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,DRIVEWAY - RESIDENTIAL,false,false,1711,17,39,12,26,1144424.0,1936899.0,2017,2018-02-10 15:50:01 UTC,41.98287115,-87.744211728,"(41.98287115, -87.744211728)"
10905755,JA218106,2017-04-09 04:40:00 UTC,103XX S AVENUE G,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,false,true,432,4,10,52,26,1203151.0,1836976.0,2017,2018-02-10 15:50:01 UTC,41.707369624,-87.531661332,"(41.707369624, -87.531661332)"
10857287,JA162763,2017-02-21 10:41:00 UTC,023XX W 95TH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,false,false,2221,22,19,72,26,1162565.0,1841589.0,2017,2018-02-10 15:50:01 UTC,41.720969202,-87.680159235,"(41.720969202, -87.680159235)"
10849060,JA153226,2017-02-14 10:00:00 UTC,035XX W 116TH PL,4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,RESIDENCE,false,true,2211,22,19,74,26,1154843.0,1827111.0,2017,2017-02-21 16:01:48 UTC,41.68139614,-87.708828073,"(41.68139614, -87.708828073)"
10834802,JA136440,2017-01-30 11:20:00 UTC,065XX W BRYN MAWR AVE,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,"SCHOOL, PUBLIC, BUILDING",false,false,1612,16,41,10,17,1131583.0,1936817.0,2017,2017-02-14 15:49:42 UTC,41.98287878,-87.791440835,"(41.98287878, -87.791440835)"
10824299,JA125628,2017-01-20 14:00:00 UTC,053XX N AUSTIN AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER,false,false,1622,16,45,11,11,1135212.0,1934984.0,2017,2017-02-14 15:49:42 UTC,41.977785087,-87.778137624,"(41.977785087, -87.778137624)"
10778137,HZ544340,2016-12-08 00:23:00 UTC,104XX S AVENUE M,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,false,false,432,4,10,52,14,1201506.0,1836351.0,2016,2018-02-10 15:50:01 UTC,41.705696438,-87.537706332,"(41.705696438, -87.537706332)"
10764930,HZ529863,2016-11-26 15:10:00 UTC,037XX W 57TH PL,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,false,true,822,8,14,62,26,1152399.0,1866219.0,2016,2018-02-10 15:50:01 UTC,41.788763656,-87.716748954,"(41.788763656, -87.716748954)"
10738426,HZ498204,2016-11-01 13:57:00 UTC,031XX S ARCHER AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,true,false,912,9,11,59,26,1165490.0,1883582.0,2016,2018-02-10 15:50:01 UTC,41.836142038,-87.668255954,"(41.836142038, -87.668255954)"
10745874,HZ506992,2016-11-01 00:00:00 UTC,059XX N WEST CIRCLE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,1612,16,41,10,11,1127992.0,1939194.0,2016,2018-02-10 15:50:01 UTC,41.989463083,-87.804594055,"(41.989463083, -87.804594055)"
10733552,HZ492685,2016-10-28 13:48:00 UTC,001XX W 35TH ST,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,CTA BUS,true,false,915,9,11,34,08A,1175739.0,1881773.0,2016,2018-02-10 15:50:01 UTC,41.830954079,-87.630703226,"(41.830954079, -87.630703226)"
10725865,HZ484837,2016-10-22 17:10:00 UTC,063XX N NAGLE AVE,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,ALLEY,true,false,1611,16,41,10,18,1132627.0,1941632.0,2016,2018-02-10 15:50:01 UTC,41.996073378,-87.78748829,"(41.996073378, -87.78748829)"
10721304,HZ480029,2016-10-18 22:40:00 UTC,084XX S STONY ISLAND AVE,033B,ROBBERY,ATTEMPT: ARMED-OTHER FIREARM,ATM (AUTOMATIC TELLER MACHINE),false,false,412,4,8,45,03,1188267.0,1849517.0,2016,2018-02-10 15:50:01 UTC,41.742150773,-87.585766931,"(41.742150773, -87.585766931)"
10705675,HZ461862,2016-10-05 10:29:00 UTC,007XX E 111TH ST,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),POLICE FACILITY/VEH PARKING LOT,true,false,531,5,9,50,18,1183356.0,1831503.0,2016,2018-02-10 15:50:01 UTC,41.692833841,-87.60431945,"(41.692833841, -87.60431945)"
10703600,HZ459553,2016-09-19 12:00:00 UTC,068XX W SCHUBERT AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,2512,25,36,18,11,1130425.0,1917195.0,2016,2018-02-10 15:50:01 UTC,41.929053908,-87.796152156,"(41.929053908, -87.796152156)"
10625595,HZ339870,2016-07-07 18:22:00 UTC,007XX E 111TH ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,GOVERNMENT BUILDING/PROPERTY,true,false,531,5,9,50,18,1183356.0,1831503.0,2016,2018-02-10 15:50:01 UTC,41.692833841,-87.60431945,"(41.692833841, -87.60431945)"
10570182,HZ318267,2016-06-22 03:12:00 UTC,033XX S ARTESIAN AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE-GARAGE,false,false,911,9,12,59,14,1160556.0,1882431.0,2016,2018-02-10 15:50:01 UTC,41.833086971,-87.686392415,"(41.833086971, -87.686392415)"
